ID,Week,Day,Task,Channel,Owner,Status,Notes
MKT-001,1,1,Finalize patient promise and doctor promise,Positioning,Founder,Todo,
MKT-002,1,1,Create list of 10 priority clinics or doctors,Outreach,Founder,Todo,
MKT-003,1,2,"Improve one doctor profile with fee, address, timings, and CTA",Website,Founder,Todo,
MKT-004,1,2,Create clinic QR poster copy,Offline,Founder,Todo,
MKT-005,1,3,Send first doctor onboarding WhatsApp messages,WhatsApp,Founder,Todo,
MKT-006,1,4,Publish one patient FAQ update,SEO,Founder,Todo,
MKT-007,1,5,Post doctor spotlight content,Social,Founder,Todo,
MKT-008,2,1,Visit or call 10 clinics/doctors,Outreach,Founder,Todo,
MKT-009,2,2,Improve local SEO copy for doctor appointment in Panipat,SEO,Founder,Todo,
MKT-010,2,3,Send patient booking reminder to opted-in contacts,WhatsApp,Founder,Todo,
MKT-011,2,4,Capture objections from doctors and clinics,Research,Founder,Todo,
MKT-012,2,5,Turn objections into FAQ answers,Website,Founder,Todo,
MKT-013,3,1,Review doctor page visits and booking CTA clicks,Metrics,Founder,Todo,
MKT-014,3,2,Add stronger CTA to top doctor and specialty pages,Conversion,Founder,Todo,
MKT-015,3,3,Follow up with warm doctor leads,Outreach,Founder,Todo,
MKT-016,3,4,Ask booked patients for short feedback,Trust,Founder,Todo,
MKT-017,3,5,Publish weekly availability roundup,Social,Founder,Todo,
MKT-018,4,1,Identify top two channels by replies or bookings,Metrics,Founder,Todo,
MKT-019,4,2,Create repeatable doctor onboarding checklist,Operations,Founder,Todo,
MKT-020,4,3,Publish honest momentum update,Trust,Founder,Todo,
MKT-021,4,4,Set next-month targets,Planning,Founder,Todo,
